id_spot|name_spot|picture|location|management|size|numberofposts|population|opening|price|regulation
c7b2r8|Lac de Chemillé-sur-Indrois|https://img.freepik.com/photos-gratuite/jetee-au-bord-lac-hallstatt-autriche_181624-44201.jpg?w=996&t=st=1678399451~exp=1678400051~hmac=7dc37562d9c3cebc3fe93d0309f030c8321aec2ba3fa56475096ece7a438cd09|CHEMILLE-SUR-INDROIS 37460|conjointement assurée par la FDAAPPMA37 et l'AAPPMA du Montrésorois.|35.0|11 postes de nuit.|"""CARPE"",""BROCHET"",""GARDON"",""BREME"""|||"""Carte de pêche obligatoire."",""Pêche 2ème catégorie."",""Pêche de nuit autorisée pour la carpe."",""Moteur électrique autorisé, moteur thermique interdit."",""Les embarcations et bateaux amorceurs sont interdits toute l'année pour la pose des lignes et l'amorçage."",""Sac de conservation interdit."",""Pelle US obligatoire."",""Les chiens seront tenus en laisse."",""Camping interdit - bivouacs autorisés uniquement dans la zone de pêche de nuit."""
t9g5h3|Étang de Brosse|https://img.freepik.com/photos-gratuite/tir-couper-souffle-ocean-collines-enneigees-cotes-belle-scene-coucher-soleil_181624-5475.jpg?w=996&t=st=1678400842~exp=1678401442~hmac=4fee28fb1bbcdf0e69433f096317b333c93daf29cb65e932e7412ff8d112113e|LUZILLE 37150|privée.|44.4|5 postes.|"""CARPE"",""GARDON"",""BROCHET"",""AMOUR BLANC"""||25€ les 24h|"""Bateaux autorisés."",""Hameçon sans ardillon (ou ardillon écrasé) obligatoire."",""Tresse interdite sur le moulinet ou en tête de ligne."",""3 cannes maximum en batterie."",""NO KILL obligatoire."""
x2c5f3|La Moutonnerie|https://img.freepik.com/photos-gratuite/pont-bois-ile-koh-nangyuan-surat-thani-thailande_335224-1082.jpg?w=996&t=st=1678400812~exp=1678401412~hmac=6ee23dbaa544995c65f38f254934422ee4d192d85df74e2bb27ac795e558dfbc|AMBOISE 37400|assurée par la AAPPMA.|||"""CARPE"",""BROCHET"",""SANDRE"",""BLACK-BASS"",""POISSONS BLANCS"""|||"""Carte de pêche obligatoire."",""3 cannes au maximum dont une seule pour le carnassier."",""Bourriche uniquement pour la friture. Friture sans limitation."",""Véhicules interdits autour du plan d'eau."",""Feux interdits et barbecues."",""Les chiens seront tenus en laisse."","""",""Pour les carnassiers (NO KILL) :"",""1 canne."",""Pêche aux leurres uniquement, vif et poisson mort interdits."",""Hameçon sans ardillon (ou ardillon écrasé) obligatoire."",""Bâteau et Float-tube interdits."",""Pour la carpe (NO KILL) :"",""3 cannes maximum en batterie"",""Dépose des lignes et amorçage à l'aide d'engin télécommandé ou d'une embarcation interdits."",""Tresse interdite sur le moulinet ou en tête de ligne."",""Tapis de réception et hameçon sans ardillon(ou ardillon écrasé) obligatoires."""
a4m6i1|Lac des 3 provinces|https://img.freepik.com/photos-gratuite/lac-entre-montagnes_1112-544.jpg?w=1060&t=st=1678400870~exp=1678401470~hmac=568b5ec91902728bffe006a0878131b073a9b594ec5d0d4c9daa89d34fbd7451|SEIGY 41140|assurée par la AAPPMA.|40|6 postes de nuit.|"""BLACK-BASS"",""BROCHET"",""SANDRE"",""PERCHE"",""SILURE"",""GARDON"",""CARASSIN"",""TANCHE"",""BREME"",""ABLETTE"",""GOUJON"",""CHEVESNE"""|||"""Pêche 2ème catégorie."",""Bateaux autorisés."",""4 cannes maximum en batterie."",""Pêche de nuit autorisée pour la carpe."",""Baignade interdite."",""Feux interdits et barbecues."""
n4h6g5|L'étang des roseaux|https://img.freepik.com/photos-gratuite/prise-vue-grand-angle-du-lac-hallstatt-entoure-hautes-montagnes-rocheuses-autriche_181624-15715.jpg?w=996&t=st=1678400860~exp=1678401460~hmac=16f14245334be2b27bdd30f5f4b3fafdfbeab46393465c1c59485b870108377b|LE LOUROUX 37240|privé.|52||"""BROCHET"",""SANDRE"",""CARPE"""||6€ la journée.|"""NO KILL obligatoire."",""Feux interdits et barbecues."",""Baignade interdite."",""3 cannes maximum en batterie."",""Bâteau et Float-tube interdits."""
d8y7v2|Plan d'eau de l'Arche|https://img.freepik.com/photos-gratuite/calanque_268835-3233.jpg?w=996&t=st=1678400814~exp=1678401414~hmac=d4ffcbeae79abe94b93aca483905eaa1c2d6ec24bfd25e827a95ed87125a011f|MONNAIE 37380|privée.|1|6 postes.|"""CARPE"",""TANCHE"",""GARDON"""||7€ la journée. 10€ les 24h.|"""4 cannes maximum en batterie."",""Pêche 2ème catégorie."",""NO KILL obligatoire."",""Pêche de nuit autorisée pour la carpe."""
f7q3x5|Lac de la Bergeonnerie|https://img.freepik.com/photos-gratuite/belle-photo-lac-pres-montagnes-entoure-arbres-personnes_181624-16057.jpg?w=996&t=st=1678400807~exp=1678401407~hmac=974ba899e043cafc95b469ce43c3c35b6e7f1c29d8525a0052db55677b382103|INCONNU|privée.|||"""CARPE"""|||
w6j7p2|Etang de la Frayère|https://img.freepik.com/photos-gratuite/calanques-port-pin-cassis-france-pres-marseille_268835-884.jpg?w=996&t=st=1678400809~exp=1678401409~hmac=631384a4cb5d763c10524c8df575e5aaedc3f71e6cbd5b08c2267f701766e255|PARCAY-SUR-VIENNE 37220|privée.|2|4 postes.|"""CARPE"""||25€ les 24h.|"""Feux interdits - Barbecues autorisés."",""Tapis de réception XXL ou baignoire et hameçon sans ardillon(ou ardillon écrasé) obligatoires."",""Tresse interdite sur le moulinet ou en tête de ligne."",""Remise à l'eau immédiate obligatoire."",""Amorçage du bord. Les embarcations et bateaux amorceur sont interdits."",""Bivouac camouflage obligatoire pour se fondre dans la nature."",""Détecteurs de touches obligatoires."",""Une paire de waders par poste obligatoire."",""Canon à bouillettes interdit."""
t8g3f9|L'île perchette|https://img.freepik.com/photos-gratuite/beau-tir-lac-cristallin-cote-base-montagne-enneigee-au-cours-journee-ensoleillee_181624-5459.jpg?w=996&t=st=1678400823~exp=1678401423~hmac=fb09d5398c7e4e0c9465b88d0cd3cc21e32012790ef1904eb712c08dc41f8840|NOIZAY 37210||24|11 postes.|"""BROCHET"",""SANDRE"",""CARPE"",""CARASSIN"",""GARDON"""|||"""Carte de pêche obligatoire."",""Les embarcations et bateaux sont interdits."",""Pêche 2ème catégorie."""
d7q9j1|Etang des héronnières|https://img.freepik.com/photos-gratuite/lac-entoure-rochers-foret-arbres-se-refletant-eau-sous-ciel-bleu-italie_181624-15167.jpg?w=996&t=st=1678400831~exp=1678401431~hmac=f5eef3129e1e71165f8514fc84787edc3dd0eb6b09a7b5c8d424c63187bbc0f1|AUTRECHE 37110|privée.|7|18 postes|"""ESTURGEON"",""CARPE"",""CARPE KOI"",""AMOUR BLANC"""||20€ les 24h|"""NO KILL obligatoire."",""1 pêcheur par poste."",""3 cannes maximum en batterie."",""Tapis de réception, détecteurs et épuisette obligatoires."",""Hameçon sans ardillon (ou ardillon écrasé) obligatoire."",""Remise à l'eau immédiate obligatoire."",""Les embarcations et bateaux sont interdits."",""Feux interdits - Barbecues autorisés."",""Apats vivants interdit"",""Amorçage lourd interdit."",""Sac de conservation interdit."""
